ipa,syllabic,consonant,high,low,front,back,tense,voice,place,manner
p,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bilabial,plosive
b,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,bilabial,plosive
t,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alveolar,plosive
d,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,plosive
ʈ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,retroflex,plosive
ɖ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,plosive
c,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,palatal,plosive
ɟ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,palatal,plosive
k,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,velar,plosive
g,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,velar,plosive
q,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,uvular,plosive
ɢ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,uvular,plosive
ʔ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,glottal,plosive
m,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,bilabial,nasal
ɱ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,labiodental,nasal
n,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,nasal
ɳ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,nasal
ɲ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,palatal,nasal
ŋ,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,velar,nasal
ɴ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,uvular,nasal
ʙ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,bilabial,trill
r,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,trill
ʀ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,uvular,trill
ⱱ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,labiodental,tap
ɾ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,tap
ɽ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,tap
ɸ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bilabial,fricative
β,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,bilabial,fricative
f,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,labiodental,fricative
v,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,labiodental,fricative
θ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dental,fricative
ð,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,dental,fricative
s,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alveolar,fricative
z,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,fricative
ʃ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,postalveolar,fricative
ʒ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,postalveolar,fricative
ʂ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,retroflex,fricative
ʐ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,fricative
ç,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,palatal,fricative
ʝ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,palatal,fricative
x,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,velar,fricative
ɣ,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,velar,fricative
χ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,uvular,fricative
ʁ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,uvular,fricative
ħ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,pharyngeal,fricative
ʕ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,pharyngeal,fricative
h,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,glottal,fricative
ɦ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,glottal,fricative
ɬ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,alveolar,lateral fricative
ɮ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,lateral fricative
ʋ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,labiodental,approximant
ɹ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,approximant
ɻ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,approximant
j,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,palatal,approximant
ɰ,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,velar,approximant
l,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,alveolar,lateral approximant
ɭ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,retroflex,lateral approximant
ʎ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,palatal,lateral approximant
